NZ_JADOBN010000015.1	27_LeupAB	99.190	1235	10	0	83657	84891	1	1235	0.0	2226
NZ_JADOBN010000015.1	2_empty	98.980	98	1	0	81738	81835	1	98	6.87e-44	176
NZ_JADOBN010000002.1	25_oxy1_Km	99.429	876	5	0	147030	147905	1	876	0.0	1591
NZ_JADOBN010000002.1	26_oxy5_Km	97.489	876	19	1	147030	147905	1	873	0.0	1493
NZ_JADOBN010000002.1	50_oxy8_Khaux	97.477	872	22	0	147030	147901	1	872	0.0	1489
NZ_JADOBN010000002.1	13_oxy6_Kg	97.133	872	22	1	147030	147901	1	869	0.0	1469
NZ_JADOBN010000002.1	38_oxy4_Kpas	94.863	876	42	1	147030	147905	1	873	0.0	1365
NZ_JADOBN010000002.1	51_oxy3_Sp	85.405	1062	138	11	146848	147905	2	1050	0.0	1086
NZ_JADOBN010000002.1	1_oxy2_Ko	86.986	876	111	1	147030	147905	1	873	0.0	983
NZ_JADOBN010000002.1	10_hmoX_Ko	98.000	50	1	0	216659	216708	1557	1508	1.21e-16	87.9
