NZ_CABHEP010000001.1	10_hmoX_Ko	100.000	50	0	0	1049834	1049883	1508	1557	5.54e-18	93.5
NZ_CABHEP010000003.1	10_hmoX_Ko	100.000	50	0	0	110	159	1557	1508	2.61e-18	93.5
NZ_CABHEP010000005.1	10_hmoX_Ko	98.000	50	1	0	267765	267814	1508	1557	6.59e-17	87.9
NZ_CABHEP010000007.1	10_hmoX_Ko	98.000	50	1	0	226053	226102	1508	1557	5.56e-17	87.9
NZ_CABHEP010000009.1	25_oxy1_Km	99.429	876	5	0	147631	148506	1	876	0.0	1591
NZ_CABHEP010000009.1	26_oxy5_Km	97.489	876	19	1	147631	148506	1	873	0.0	1493
NZ_CABHEP010000009.1	50_oxy8_Khaux	97.477	872	22	0	147631	148502	1	872	0.0	1489
NZ_CABHEP010000009.1	13_oxy6_Kg	97.133	872	22	1	147631	148502	1	869	0.0	1469
NZ_CABHEP010000009.1	38_oxy4_Kpas	94.863	876	42	1	147631	148506	1	873	0.0	1365
NZ_CABHEP010000009.1	51_oxy3_Sp	85.499	1062	137	11	147449	148506	2	1050	0.0	1092
NZ_CABHEP010000009.1	1_oxy2_Ko	87.215	876	109	1	147631	148506	1	873	0.0	994
NZ_CABHEP010000010.1	27_LeupAB	99.109	1235	11	0	49913	51147	1235	1	0.0	2220
NZ_CABHEP010000010.1	2_empty	98.980	98	1	0	52970	53067	98	1	8.55e-44	176
NZ_CABHEP010000012.1	10_hmoX_Ko	100.000	51	0	0	110	160	1557	1507	2.40e-19	95.3
NZ_CABHEP010000021.1	10_hmoX_Ko	98.000	50	1	0	90711	90760	1508	1557	2.23e-17	87.9
NZ_CABHEP010000028.1	10_hmoX_Ko	98.039	51	1	0	110	160	1557	1507	3.74e-18	89.8
NZ_CABHEP010000031.1	10_hmoX_Ko	100.000	51	0	0	110	160	1557	1507	6.34e-20	95.3
NZ_CABHEP010000034.1	10_hmoX_Ko	100.000	51	0	0	110	160	1557	1507	5.62e-20	95.3
NZ_CABHEP010000041.1	10_hmoX_Ko	96.226	53	2	0	110	162	1557	1505	5.40e-18	87.9
NZ_CABHEP010000047.1	10_hmoX_Ko	98.000	50	1	0	8503	8552	1508	1557	2.13e-18	87.9
NZ_CABHEP010000048.1	10_hmoX_Ko	100.000	50	0	0	110	159	1557	1508	4.19e-20	93.5
NZ_CABHEP010000089.1	10_hmoX_Ko	100.000	47	0	0	261	307	1557	1511	7.19e-20	87.9
